41
-2.000000	-1.000000
-1.900000	-0.987688
-1.800000	-0.951057
-1.700000	-0.891007
-1.600000	-0.809017
-1.500000	-0.707107
-1.400000	-0.587785
-1.300000	-0.453990
-1.200000	-0.309017
-1.100000	-0.156434
-1.000000	0.000000
-0.900000	0.156434
-0.800000	0.309017
-0.700000	0.453990
-0.600000	0.587785
-0.500000	0.707107
-0.400000	0.809017
-0.300000	0.891007
-0.200000	0.951057
-0.100000	0.987688
0.000000	1.000000
0.100000	0.987688
0.200000	0.951057
0.300000	0.891007
0.400000	0.809017
0.500000	0.707107
0.600000	0.587785
0.700000	0.453990
0.800000	0.309017
0.900000	0.156434
1.000000	-0.000000
1.100000	-0.156434
1.200000	-0.309017
1.300000	-0.453990
1.400000	-0.587785
1.500000	-0.707107
1.600000	-0.809017
1.700000	-0.891007
1.800000	-0.951057
1.900000	-0.987688
2.000000	-1.000000
